,0
0,"""BioB (spiked control)"""
1,"""BioC (spiked control)"""
2,"""BioD (spiked control)"""
3,"""CYP3A3 Cytochrome P450 IIIA3 (nifedipine oxidase chain 3)"""
4,"""CYP3A3 Cytochrome P450 IIIA3 (nifedipine oxidase chain 3)"""
5,"""PRNP Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)"""
6,"""ADH2 Alcohol dehydrogenase 2 (class I), beta polypeptide"""
7,"""CYP2C9 Cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 9"""
8,"""ELASTASE IIIA PRECURSOR"""
9,"""CYP3A7 Cytochrome P450 IIIA7 (P450-HFLa)"""
10,"""TYMS Thymidylate synthase"""
11,"""FECH Ferrochelatase (protoporphyria)"""
12,"""T-CELL ANTIGEN CD7 PRECURSOR"""
13,"""PTAFR Platelet activating factor receptor"""
14,"""POU1F1 POU domain, class 1, transcription factor 1 (Pit1, growth hormone factor 1)"""
15,"""MACS Myristoylated alanine-rich C-kinase substrate"""
16,"""MACS Myristoylated alanine-rich C-kinase substrate"""
17,"""MPZ Myelin protein zero (Charcot-Marie-Tooth neuropathy 1B)"""
18,"""CBFA2 Core-binding factor, runt domain, alpha subunit 2 (acute myeloid leukemia 1; aml1 oncogene) {alternative products}"""
19,"""CRK V-crk avian sarcoma virus CT10 oncogene homolog"""
20,"""CHK Choline kinase """
21,"""AAC2 Arylamine N-acetyltransferase, liver"""
22,"""PROBABLE G PROTEIN-COUPLED RECEPTOR HM74"""
23,"""CMKBR1 Chemokine (C-C) receptor 1"""
24,"""IL2RG Interleukin 2 receptor gamma chain"""
25,"""26S PROTEASE REGULATORY SUBUNIT 7"""
26,"""TIMP1 Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)"""
27,"""PTPN7 Protein tyrosine phosphatase, non-receptor type 7"""
28,"""PMP22 Peripheral myelin protein 22"""
29,"""PMP22 Peripheral myelin protein 22"""
30,"""LTB4H Leukotriene B4 omega hydroxylase (cytochrome P450, subfamily IVF)"""
