Gene Description	Gene Accession Number	HL60_0_hrs	call	HL60_0.5_hrs	call	HL60_4_hrs	call	HL60_24_hrs	call	U937_0_hrs	call	U937_0.5_hrs	call	U937_4_hrs	call	U937_24_hrs	call	NB4_0_hrs	call	NB4_5.5_hrs	call	NB4_24_hrs	call	NB4_48_hrs	call	NB4_72_hrs	call	Jurkat_0_hrs	call	Jurkat_0.5_hrs	call	Jurkat_4_hrs	call	Jurkat_24_hrs	call
"BioB (spiked control)"	BioB	7	A	-12	A	3	A	19	A	254	P	3	A	4	A	247	P	-4	A	-4	A	-11	A	-6	A	-7	A	-5	A	-5	A	-2	A	-3	A
"BioC (spiked control)"	BioC	62	P	5	A	75	P	107	P	596	P	41	P	46	P	606	P	3	A	1	A	4	A	-5	A	2	A	1	A	3	A	3	A	-3	A
"BioD (spiked control)"	BioD	372	P	143	P	405	P	551	P	752	P	213	P	239	P	758	P	229	P	272	P	270	P	257	P	277	P	210	P	192	P	190	P	152	P
"CYP3A3 Cytochrome P450 IIIA3 (nifedipine oxidase chain 3)"	D00003_f	8	A	28	P	8	A	27	A	6	A	6	A	10	A	2	A	5	A	2	A	2	A	7	A	7	A	1	A	10	A	1	A	7	A
"CYP3A3 Cytochrome P450 IIIA3 (nifedipine oxidase chain 3)"	D00003_i	-7	A	36	P	5	A	41	P	2	A	-1	A	13	A	2	A	-7	A	0	A	6	A	9	A	13	A	6	A	12	M	12	A	13	M
"CYP3A3 Cytochrome P450 IIIA3 (nifedipine oxidase chain 3)"	D00003_r_i	5	A	-8	A	4	A	1	A	-5	A	-10	A	-6	A	-3	A	-1	A	-1	A	2	A	0	A	14	M	6	A	-3	A	10	P	13	A
"PRNP Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)"	D00015	13	A	8	A	24	P	44	P	32	P	57	P	42	P	82	P	12	A	3	A	9	A	7	A	10	A	11	P	19	P	24	P	21	P
"LTA Lymphotoxin alpha (formerly tumor necrosis factor beta)"	D00102	5	A	-12	A	-8	A	-6	A	7	A	-11	A	-7	A	-10	A	0	A	-4	A	-2	A	-9	A	-6	A	-9	A	4	A	-4	A	11	A
"ADH2 Alcohol dehydrogenase 2 (class I), beta polypeptide"	D00137	7	A	-1	A	3	A	3	A	1	A	6	A	3	A	-1	A	4	A	1	A	4	A	4	A	7	A	3	A	0	A	7	A	10	A
"CYP2C9 Cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 9"	D00173	4	A	14	A	0	A	-2	A	-1	A	1	A	1	A	0	A	12	A	3	A	2	A	11	A	5	A	3	A	2	A	-1	A	3	A
"CYC1 Cytochrome c-1"	D00265	411	P	413	P	468	P	136	P	322	P	302	P	246	P	108	P	276	P	660	P	691	P	376	P	460	P	216	P	355	P	234	P	181	P
"ELASTASE IIIA PRECURSOR"	D00306	1	A	-11	A	3	A	13	A	-21	A	5	A	-9	A	-11	A	3	A	-10	A	-8	A	-8	A	-6	A	-13	A	-14	A	9	A	-9	A
"CYP3A7 Cytochrome P450 IIIA7 (P450-HFLa)"	D00408	3	A	-2	A	11	A	10	P	-3	A	-1	A	0	A	0	A	0	A	0	A	1	A	-2	A	-3	A	5	P	-5	A	-2	A	-1	A
"TYMS Thymidylate synthase"	D00596	165	P	273	P	260	P	35	P	808	P	786	P	751	P	16	P	438	P	470	P	609	P	500	P	379	P	1256	P	1073	P	1027	P	967	P
"FECH Ferrochelatase (protoporphyria)"	D00726	54	P	82	P	52	P	22	P	13	A	12	A	14	A	14	A	22	P	39	A	56	P	44	P	63	P	163	P	129	P	92	P	56	P
"T-CELL ANTIGEN CD7 PRECURSOR"	D00749	37	A	15	A	7	M	16	A	13	P	11	A	29	A	26	A	23	M	34	A	28	A	36	P	14	A	216	P	195	P	182	P	108	P
"PSMA3 Proteasome component C3"	D00760_f	105	P	118	P	132	P	159	P	136	P	103	P	70	P	170	P	12	P	47	P	122	P	132	P	160	P	249	P	274	P	270	P	271	P
"PSMA5 Proteasome component C5"	D00761_f	1266	P	1305	P	1277	P	820	P	635	P	758	P	732	P	689	P	157	P	270	P	310	P	319	P	330	P	782	P	871	P	777	P	951	P
"PROTEASOME COMPONENT C8"	D00762_f	889	P	824	P	652	P	364	P	476	P	697	P	614	P	371	P	71	P	280	P	452	P	293	P	272	P	998	P	1025	P	984	P	808	P
"GAPD Glyceraldehyde-3-phosphate dehydrogenase"	D00763	533	P	554	P	589	P	272	P	366	P	409	P	463	P	318	P	90	P	145	P	290	P	250	P	360	P	585	P	530	P	498	P	527	P
"PRPS1 Phosphoribosyl pyrophosphate synthetase subunit I"	D00860	76	P	92	P	69	P	25	M	61	P	72	P	81	P	24	P	34	P	28	P	41	P	32	P	34	P	254	P	186	P	205	P	132	P
"FACL1 Long chain fatty acid acyl-coA ligase"	D10040	50	P	57	P	122	P	51	P	29	P	65	P	57	P	56	P	76	P	92	P	198	P	329	P	896	P	13	P	1	A	8	A	10	A
"PTAFR Platelet activating factor receptor"	D10202	9	A	6	A	7	A	6	A	2	A	-1	A	13	A	19	P	0	A	0	A	9	A	15	P	28	P	2	A	-1	A	5	A	-2	A
"POU1F1 POU domain, class 1, transcription factor 1 (Pit1, growth hormone factor 1)"	D10216	-5	A	1	A	3	A	-15	A	1	A	-1	A	0	A	0	A	-2	A	-1	A	-1	A	-2	A	0	A	3	A	-6	A	-1	A	-3	A
"ACAT1 Acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)"	D10511	139	P	212	P	187	P	12	M	130	P	197	P	165	P	52	P	112	P	72	P	92	P	58	P	52	P	118	P	73	P	101	P	56	P
"MACS Myristoylated alanine-rich C-kinase substrate"	D10522_i	-3	A	1	A	5	A	0	A	57	P	48	P	120	P	10	P	3	A	-1	A	32	P	97	P	276	P	4	A	0	A	-5	A	-1	A
"MACS Myristoylated alanine-rich C-kinase substrate"	D10522_r	-1	A	1	A	2	A	0	A	38	P	34	P	111	P	7	A	-8	A	2	A	26	P	82	P	262	P	-2	A	-3	A	-4	A	4	A
"OGDH Oxoglutarate dehydrogenase (lipoamide)"	D10523	66	P	106	P	60	P	84	A	40	P	49	P	48	P	99	P	28	P	22	P	27	P	29	P	50	P	39	P	38	P	46	P	39	P
"MPZ Myelin protein zero (Charcot-Marie-Tooth neuropathy 1B)"	D10537	9	A	24	P	30	A	30	P	23	P	42	P	10	A	67	P	7	A	24	A	49	P	34	P	41	P	29	P	22	P	30	P	35	P
"CBFA2 Core-binding factor, runt domain, alpha subunit 2 (acute myeloid leukemia 1; aml1 oncogene) {alternative products}"	D10570	-10	A	-2	A	0	A	-12	A	3	A	0	A	-2	A	-5	A	-3	A	0	A	-2	A	-1	A	-5	A	19	P	20	P	16	P	9	A
