Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	transmembrane protein	86	15.523465703971121	2.4838163823254068E-33	L04751, R51015, L37112, X52425, U29589, M59819, M59911, M11799, L19593, X01060, X52228, X06272, M91368, U20760, U33635, Y00281, X52229, U10886, M32879, L36566, L10284, X00588, X04325, U03865, X59350, X54937, Z22936, X53795, Z34897, X07936, M83664, M32315, Z22555, M33680, Y00062, L40557, X01057, X55019, M28373, M88282, Z48199, D15056, M65105, X14830, M14766, X14355, X14974, M23115, J02906, M23114, M32800, J03779, M63928, M99564, X13916, L08599, U08854, U17418, L20316, L14595, D32201, X52947, X16699, Z11697, M63962, J05200, X74295, L42110, L33477, D29808, M73832, M81768, L08893, D90188, L29339, M35011, X62381, M27539, X62899, L09247, M14648, X54673, J03565, X06557, M27161, X52008, M76665, L07949	549	642	19235	4.69335353432182	1.5076765440715219E-30	1.5076765440715219E-30	3.674231935644393E-30
SP_PIR_KEYWORDS	disease mutation	107	19.314079422382672	4.5839056747170236E-17	R51015, L13385, L17075, M31013, J05272, D00726, L31801, L38517, U09646, M31115, M21984, L16242, U20760, M33308, M61832, M81379, X00588, L41870, X51630, X12369, L40557, M13995, D15056, M65105, X14830, D37965, M34424, M20867, M23115, M23114, L25270, X00474, M99564, D49357, L40992, L34219, D63879, J05200, L42110, L07648, D29808, Y00414, M73832, X63432, X82166, L29339, Z32858, D13243, M10321, U30707, L08850, U21914, M32373, U20938, M32011, M61763, M20132, M77836, X52426, M23410, M36661, X13255, L36719, U10886, X69723, X66142, M69043, X06825, D90391, U18543, M19701, M86406, M32879, X04325, X13988, X03348, D43969, X82324, M94055, Y00062, D14134, D23672, X55019, M28373, U21931, K01740, Z48054, M22490, M88282, M23379, M16827, M55067, L08599, X79888, U17418, M58050, U25435, X52947, X02750, J03824, D13643, X74819, X52011, X82850, L25541, X60382, M27161, L07949	549	1591	19235	2.356315522537406	2.7824307445532334E-14	1.3912153722766167E-14	6.780828381628864E-14
SP_PIR_KEYWORDS	duplication	36	6.4981949458483745	3.0366703620279476E-16	J04040, X16662, J05272, M59911, M11799, M63928, L08599, X52228, J03040, X52229, X56667, L00022, M81651, M33308, X75756, U01691, X07384, L33477, M86406, M36634, J02783, X00588, J04440, X13293, M35011, M65066, M27539, M32315, M14648, M94077, M10321, M55284, X01057, K01740, J03565, D26135	549	228	19235	5.532067874604544	2.02171612784241E-13	6.7390537594747E-14	4.884981308350689E-13
SP_PIR_KEYWORDS	phosphoprotein	299	53.97111913357401	8.934521643726094E-16	D43947, R51015, D43948, U07747, L13385, L17075, Z46376, L31801, M11799, L16794, J03600, M21984, D38555, L02547, X75756, M81379, D26309, L10284, U04241, D43951, U19261, L40410, M95929, M97388, L38734, X84002, X63692, X62570, M98525, X14830, X62055, M20867, L10911, M23115, M23114, D14694, J05200, Y00414, X63432, M81768, D26018, U31278, U13896, L07597, L02840, U07349, Z22536, M29551, M26311, U30707, U09582, L08850, X59932, U31525, L28824, U14577, M61763, M20132, U14575, U29589, U18299, M23410, L19593, H14341, X66975, U02019, M74558, X63071, D14812, M91368, L36719, V00511, X54232, M69043, U02680, U01691, M64788, U18543, M19701, U16282, Z48042, U14588, L36870, X51521, D10656, L42374, D21205, X89478, U32974, D23672, U04953, X07862, X57348, X57346, M19309, M55067, L08599, X13916, X12548, M58050, U09873, L40371, D32201, X84373, M28636, L07810, M84490, M90104, D13643, M15205, X13293, L16783, X74819, L16782, M84349, L27479, D25278, Z46389, M27539, X82850, Y00661, L39874, M23068, L09247, Z37976, D42053, D42054, L12723, M99626, M27691, Z17240, L20298, X73358, M27161, L07949, U13948, M31013, M59911, M69181, X15217, X01060, J03040, M33308, U21909, D26067, L36566, X70940, X00588, U03865, U22055, L14812, D13636, M86752, L41870, M34551, D42084, U19252, L29216, L07919, M61199, L29222, L29220, D17530, X01057, D13630, U12387, M13995, M17754, X77548, Z48199, M77140, X14355, U03851, U02570, X84076, U17899, M34424, X78925, L25270, U15689, M99564, M60756, X84709, Z23064, L40992, L14595, D63876, U39840, D63877, D63879, D21163, M63962, L42110, L37042, L49207, L10717, U00001, L27745, L41067, M18216, U35835, X82166, M14630, X62899, X59739, D13243, D38491, L06328, L06132, M55284, U25975, U21914, Z15005, J03565, M91585, U20938, L36645, X55740, D25304, M77836, X79536, X52425, X52426, J05017, M36661, M75883, X67334, D13138, X52228, X06272, M60830, J02923, X69723, U10886, X52229, Z29067, X06825, M86406, D63880, X04325, M86699, L07738, X59350, M65066, M34458, Z34897, D10202, M32315, X78549, M81601, X03348, D43969, Y00062, D14134, X55019, M28373, Z35278, D14689, D63881, M23379, M68941, M99439, X69838, X86809, D21260, M25756, X16663, D21262, M64098, D21261, D28588, D21852, M37400, M63928, M22349, U15782, U25435, X52947, U20285, M73778, L33477, J03004, L36818, D14661, D90188, X91141, X80692, L07615, D14665, M96322, D14664, X74794, U14391, U08438, X68303, D13902, X75535, D29954, M34181, M55618, U05596	549	7263	19235	1.4423643854985735	5.39124300757976E-13	1.34781075189494E-13	1.3100631690576847E-12
GOTERM_CC_FAT	GO:0031226~intrinsic to plasma membrane	100	18.050541516245488	8.73441739721387E-15	R51015, L17075, M31013, U06715, M59911, M59819, M11799, X85750, X01060, U20760, U33635, X75756, L36566, U03865, X54937, X53795, M33680, L38734, U03858, Z48199, D15056, M65105, X14830, M14766, X14974, M16768, M23115, M23114, J03779, L14595, Z11697, M63962, J05200, L42110, D29808, M73832, M18216, L29339, X62381, Z48481, X62899, L02840, Z22536, X66171, L36645, M32011, L37112, X81817, U25128, X52425, U29589, L19593, X52228, M60830, M91368, X52229, U10886, X54232, Z48042, U25138, X59350, Z22936, Z34897, M91211, D10202, Z22555, U14650, Y00062, M94055, U06452, X55019, M28373, M88282, J04739, X81479, M63928, L36531, M55067, X13916, U17418, M58050, D32201, X52947, X74295, D49394, D90188, L07615, M84349, M35011, D14665, D14664, M27539, L09247, M14648, D38449, X54673, U05596, M86868, M27161, X06557, X52008, L07949	469	1215	12782	2.243105460352558	4.017008947698741E-12	4.017008947698741E-12	1.247890679678676E-11
GOTERM_BP_FAT	GO:0010033~response to organic substance	73	13.176895306859207	3.5343243651319214E-14	M61763, J04040, M20132, D49547, X83705, L38517, X60673, X13255, X01060, M91368, M69043, U01691, U21909, D90391, M81379, X00588, U03865, U04241, Z22936, M65066, X07936, D10202, X17668, Z22555, X03348, L40557, M13995, U21931, M22490, Z48199, M77140, X16663, X14830, X00474, M63928, M37400, L08599, D32046, M22349, X12548, X51758, L20316, D14695, X51801, M73778, Z11697, J05200, J03824, D49396, L49207, L10665, Y00414, M81768, X52015, U35835, L07615, D14665, X68303, U08438, X82850, Z48481, X62899, M29551, M34181, D14874, L12723, X54673, L08850, M27691, U25657, Y00970, Z17240, X73358, M32373	517	721	13528	2.649296995093318	1.0983414178156181E-10	1.0983414178156181E-10	6.382672168570025E-11
GOTERM_CC_FAT	GO:0005887~integral to plasma membrane	97	17.509025270758123	4.136962054724349E-14	R51015, M31013, L17075, U06715, M59911, M59819, M11799, X85750, X01060, U20760, U33635, X75756, L36566, U03865, X54937, X53795, M33680, L38734, Z48199, D15056, M65105, X14830, M14766, X14974, M16768, M23115, M23114, J03779, L14595, Z11697, M63962, J05200, L42110, D29808, M73832, M18216, L29339, X62381, Z48481, X62899, L02840, Z22536, X66171, L36645, M32011, L37112, X81817, U25128, X52425, U29589, L19593, X52228, M60830, M91368, X52229, U10886, X54232, Z48042, U25138, X59350, Z22936, Z34897, M91211, D10202, Z22555, U14650, Y00062, M94055, U06452, X55019, M28373, M88282, J04739, X81479, M63928, L36531, M55067, X13916, U17418, M58050, D32201, X52947, X74295, D49394, D90188, L07615, M35011, D14664, M27539, L09247, M14648, D38449, X54673, U05596, M86868, M27161, X06557, X52008, L07949	469	1188	12782	2.2252625760088445	1.89663840188814E-11	9.4831920094407E-12	5.889733145636455E-11
UP_SEQ_FEATURE	mutagenesis site	117	21.119133574007222	3.075669286553462E-13	X68830, U07747, M95678, D00726, L16794, J03600, X01060, D38554, J03040, X75756, D26309, M35416, X00588, L14812, L41870, X51630, D43951, M21188, L38734, L06633, X78706, X63692, J05235, M13995, X77548, D15056, X14355, X14974, M20867, M34424, L25270, X00474, X84709, D63876, L42110, L49207, M81768, U35835, L12350, L29339, X82166, U31278, U13896, X81372, M26311, U09582, U25975, L08850, U13991, X59932, L04751, X81817, M20132, M61763, U14575, M77836, X52425, X79536, U29589, J05017, U18299, M36661, M75883, X67334, X16323, D13138, X52228, D14812, D42041, J02923, L36719, X52229, V00511, M69043, M19701, Z48042, D63880, M86699, D10656, D21205, X78549, X03348, X07834, D43969, Y00062, U32974, D14134, M28373, U21931, M87434, Z48054, U03494, M16827, J04739, U03105, M32800, L08599, X13916, X79888, J03727, M58050, U09873, X84373, X82240, M73778, J03824, L07810, D49394, L36818, X91141, M84349, Z46389, Y00661, X75535, Z37976, M32886, M27161, M76665	549	2045	19113	1.991815303218566	6.698042120945047E-10	6.698042120945047E-10	5.34006172614454E-10
SP_PIR_KEYWORDS	signal	160	28.880866425992778	6.127425957150485E-13	D43947, R51015, U10116, X68830, J04040, X75546, L17075, M59819, M59911, M11799, M55683, L38517, M31115, M31776, M34046, L16242, U20760, J03040, U33635, X03438, X53799, M81379, L36566, L10284, X00588, M30838, M55172, L04270, L38734, M73720, L40557, X01057, U03858, Z48199, M77140, X14830, X14355, D37965, X84076, J03870, X14974, M34424, X00474, R71383, D32046, U08854, M95767, M60396, L20316, Z11697, U19518, M11568, M36634, M60315, M73832, M18216, J04440, J04443, M36821, L12350, X62381, Z48481, X62899, M17183, X81372, Z22536, M10321, D14874, U25657, X58377, J03565, Z22865, L11701, X66171, L11702, M32373, L36645, U25128, X55740, X52425, X83705, X16323, D13138, X52228, M60830, M55210, D42041, M91368, Y00281, M27190, X52229, U10886, V00511, X54232, U20982, M94250, M65062, X59350, M34715, J00270, M91211, M32315, M83664, L20861, M57703, L35279, X07834, M26383, U16752, Y00062, M17016, M28373, X55019, K01740, M88282, M22490, J04739, M25756, X81479, V00571, M32800, L36531, M63928, L08599, X13916, X55177, X57766, X12548, M58050, U17418, M81651, X02750, X51801, M28636, X74295, L33477, D49394, D13643, D16469, J02783, X52015, M35011, M84349, D14665, D14664, L27479, M33666, M27539, D13902, D28124, L09247, Z37976, M14648, D42053, L25541, X60382, M55618, M86868, Y00970, X13097, X72755, M27161, X52008	549	3250	19235	1.724870393722853	3.719283769854087E-10	7.438571980600273E-11	9.06397179534224E-10
UP_SEQ_FEATURE	signal peptide	160	28.880866425992778	1.0482605714223527E-12	D43947, R51015, U10116, X68830, J04040, X75546, L17075, M59819, M59911, M11799, M55683, L38517, M31115, M31776, M34046, L16242, U20760, J03040, U33635, X03438, X53799, M81379, L36566, L10284, X00588, M30838, M55172, L04270, L38734, M73720, L40557, X01057, U03858, Z48199, M77140, X14830, X14355, D37965, X84076, J03870, X14974, M34424, X00474, R71383, D32046, U08854, M95767, M60396, L20316, Z11697, U19518, M11568, M36634, M60315, M73832, M18216, J04440, J04443, M36821, L12350, X62381, Z48481, X62899, M17183, X81372, Z22536, M10321, D14874, U25657, X58377, J03565, Z22865, L11701, X66171, L11702, M32373, L36645, U25128, X55740, X52425, X83705, X16323, D13138, X52228, M60830, M55210, D42041, M91368, Y00281, M27190, X52229, U10886, V00511, X54232, U20982, M94250, M65062, X59350, M34715, J00270, M91211, M32315, M83664, L20861, M57703, L35279, X07834, M26383, U16752, Y00062, M17016, M28373, X55019, K01740, M88282, M22490, J04739, M25756, X81479, V00571, M32800, L36531, M63928, L08599, X13916, X55177, X57766, X12548, M58050, U17418, M81651, X02750, X51801, M28636, X74295, L33477, D49394, D13643, D16469, J02783, X52015, M35011, M84349, D14665, D14664, L27479, M33666, M27539, D13902, D28124, L09247, Z37976, M14648, D42053, L25541, X60382, M55618, M86868, Y00970, X13097, X72755, M27161, X52008	549	3250	19113	1.7139302227826818	2.2831376789156366E-9	1.1415688394578183E-9	1.8202550577939292E-9
