,0
0,"""Osteoblast specific factor 2 (OSF-2p1)"""
1,"""EPIM Epimorphin"""
2,"""Putative chloride channel"""
3,"""TRANSCRIPTION INITIATION FACTOR TFIID 250 KD SUBUNIT"""
4,"""ESTs"""
5,"""ESTs"""
6,"""ESTs"""
7,"""TFE3 gene, exons 1,2,3 (and joined CDS)"""
8,"""ESTs"""
9,"""EST"""
10,"""ESTs"""
11,"""No cluster in current Unigene and no Genbank entry for H19309 (qualifier H19309)"""
12,"""CDKN1A Cyclin-dependent kinase inhibitor 1A (p21, Cip1)"""
13,"""DDIT1 DNA-damage-inducible transcript 1"""
14,"""POSSIBLE GTP-BINDING PROTEIN HSR1"""
15,"""PLASMA RETINOL-BINDING PROTEIN PRECURSOR"""
16,"""CLAPB1 Clathrin-associated/assembly/adaptor protein, large, beta 1"""
17,"""SIGNAL TRANSDUCER AND TRANSCRIPTION ACTIVATOR 5A"""
18,"""ESTs"""
19,"""ESTs"""
20,"""RPS11 Ribosomal protein S11"""
21,"""ESTs, Highly  similar to BETA-ADAPTIN [Homo sapiens; Rattus norvegicus; Bos taurus]"""
22,"""No cluster in current Unigene and no Genbank entry for H57958 (qualifier H57958_f)"""
23,"""ESTs"""
24,"""No cluster in current Unigene and no Genbank entry for H59551 (qualifier H59551)"""
25,"""No cluster in current Unigene and no Genbank entry for H59756 (qualifier H59756)"""
26,"""No cluster in current Unigene and no Genbank entry for H69867 (qualifier H69867)"""
27,"""No cluster in current Unigene and no Genbank entry for H69878 (qualifier H69878)"""
28,"""ATP binding cassette transporter (ABCR) mRNA"""
29,"""EST"""
30,"""MUELLERIAN INHIBITING FACTOR PRECURSOR"""
31,"""CDC42 Cell division cycle 42 (GTP-binding protein, 25kD)"""
32,"""SCN1B Sodium channel, voltage-gated, type I, beta polypeptide"""
33,"""Pre-T/NK cell associated protein (6H9A) mRNA"""
34,"""PROSTAGLANDIN F2-ALPHA RECEPTOR"""
35,"""No cluster in current Unigene and no Genbank entry for L35251 (qualifier L35251)"""
36,"""JNK ACTIVATING KINASE 1"""
37,"""FK-506 binding protein (fkbp12.6) gene"""
38,"""ASGR1 Asialoglycoprotein receptor 1"""
39,"""ADH3 Alcohol dehydrogenase 3 (class I), gamma polypeptide"""
40,"""CGMP phosphodiesterase alpha subunit (CGPR-A) mRNA"""
41,"""FGF2 Fibroblast growth factor 2 (basic)"""
42,"""CELL SURFACE GLYCOPROTEIN MUC18 PRECURSOR"""
43,"""ECGF1 Endothelial differentiation protein (edg-1)"""
44,"""MX1 Myxovirus (influenza) resistance 1, homolog of murine (interferon-inducible protein p78)"""
45,"""PRKACB Protein kinase, cAMP-dependent, catalytic, beta"""
46,"""FUT1 Fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, Bombay phenotype included)"""
47,"""VCAM1 Vascular cell adhesion molecule 1"""
48,"""Profilaggrin mRNA, 3' end"""
49,"""GNA15 Guanine nucleotide binding protein (G protein), alpha 15 (Gq class)"""
50,"""PML Probable transcription factor PML {alternative products}"""
51,"""FCER1B Fc fragment of IgE, high affinity I, receptor for; beta polypeptide"""
52,"""TSPY Testis specific protein, Y-linked"""
53,"""ESTs"""
54,"""Cadherin-associated protein-related (cap-r) mRNA"""
55,"""ESTs"""
56,"""ESTs"""
57,"""ESTs"""
58,"""No cluster in current Unigene and no Genbank entry for R32331 (qualifier R32331)"""
59,"""ESTs"""
60,"""ESTs"""
61,"""ESTs"""
