,0
0,"""PMP22 Peripheral myelin protein 22"""
1,"""EDNRB Endothelin receptor type B"""
2,"""KIAA0012 gene"""
3,"""KIAA0017 gene"""
4,"""Putative chloride channel"""
5,"""KIAA0077 gene, partial cds"""
6,"""HTR3 5-hydroxytryptamine (serotonin) receptor 3"""
7,"""Protein-tyrosine phosphatase"""
8,"""ESTs, Weakly similar to putative T1/ST2 receptor binding protein precursor [H.sapiens]"""
9,"""ESTs, Highly  similar to NUCLEAR FACTOR 1 A1 [Gallus gallus]"""
10,"""ESTs"""
11,"""ESTs, Weakly similar to ZINC FINGER PROTEIN HRX [Homo sapiens]"""
12,"""Acylphosphatase, muscle type (MT) isoenzyme"""
13,"""Neuronal DHP-sensitive, voltage-dependent, calcium channel alpha-1D subunit mRNA"""
14,"""ESTs"""
15,"""IL4R Interleukin 4 receptor"""
16,"""CKMT2 Creatine kinase, mitochondrial 2 (sarcomeric)"""
17,"""ESTs"""
18,"""KININOGEN, LMW PRECURSOR"""
19,"""No cluster in current Unigene and no Genbank entry for H70868 (qualifier H70868)"""
20,"""ESTs, Weakly similar to GAR22 protein [H.sapiens]"""
21,"""ESTs"""
22,"""ESTs, Highly  similar to RIBOSOMAL PROTEIN S6 KINASE II ALPHA 2 [Mus musculus]"""
23,"""GUANINE NUCLEOTIDE-BINDING PROTEIN G(T), ALPHA-1 SUBUNIT"""
24,"""ESTs, Moderately  similar to PUTATIVE GENERAL NEGATIVE REGULATOR OF TRANSCRIPTION C16C9.04C [Schizosaccharomyces pombe]"""
25,"""ESTs"""
26,"""ESTs"""
27,"""IF I factor (complement)"""
28,"""CA2 Carbonic anhydrase II"""
29,"""SLC2A2 Solute carrier family 2 (facilitated glucose transporter), member 2"""
30,"""P5-1 mRNA"""
31,"""IL8RB Interleukin 8 receptor, beta"""
32,"""GCNT2 Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme"""
33,"""Guanine nucleotide regulatory protein (G13) mRNA"""
34,"""POU3F1 POU domain, class 3, transcription factor 1"""
35,"""DMD Dystrophin (muscular dystrophy, Duchenne and Becker types)"""
36,"""TNF Tumor necrosis factor"""
37,"""RBP1 Cellular retinol-binding protein"""
38,"""SELP Selectin P (granule membrane protein 140kD, antigen CD62)"""
39,"""REG1A Regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)"""
40,"""CYTOCHROME P450 IA2"""
41,"""PDGFRB Platelet-derived growth factor receptor, beta polypeptide"""
42,"""PTPRA Protein tyrosine phosphatase, receptor type, alpha polypeptide"""
43,"""NAGA N-acetylgalactosaminidase, alpha-"""
44,"""LHCGR Luteinizing hormone/choriogonadotropin receptor"""
45,"""MOG Myelin oligodendrocyte glycoprotein"""
46,"""Heparin-binding growth factor receptor (HBGF-R-alpha-a3) mRNA"""
47,"""FSHR Follicle stimulating hormone receptor"""
48,"""Neuronal DHP-sensitive, voltage-dependent, calcium channel alpha-1D subunit mRNA"""
49,"""GATA2 GATA-binding protein 2"""
50,"""CRABP2 Cellular retinoic acid-binding protein 2"""
51,"""ESTs, Moderately  similar to PHOSPHOENOLPYRUVATE CARBOXYKINASE, CYTOSOLIC [Homo sapiens]"""
52,"""TISSUE FACTOR PATHWAY INHIBITOR 2 PRECURSOR"""
53,"""No cluster in current Unigene and no Genbank entry for R22594 (qualifier R22594)"""
54,"""No cluster in current Unigene and no Genbank entry for R26668 (qualifier R26668)"""
55,"""ESTs"""
56,"""EST, Highly  similar to GLUTAMATE RECEPTOR 5 PRECURSOR [Rattus norvegicus]"""
57,"""ESTs"""
58,"""ESTs"""
59,"""ESTs"""
60,"""ESTs, Highly  similar to APOLIPOPROTEIN AI REGULATORY PROTEIN-1 [Homo sapiens]"""
61,"""No cluster in current Unigene and no Genbank entry for R43119 (qualifier R43119)"""
62,"""ESTs"""
63,"""ESTs"""
64,"""C-yes-1 mRNA"""
65,"""LDL-receptor related protein"""
66,"""ESTs, Weakly similar to guanylate kinase associated protein [H.sapiens]"""
67,"""ESTs"""
68,"""Protein tyrosine kinase mRNA"""
69,"""LTF Lactotransferrin"""
70,"""Platelet-endothelial tetraspan antigen 3 mRNA"""
71,"""ESTs"""
72,"""A2M Alpha-2-macroglobulin"""
73,"""No cluster in current Unigene and no Genbank entry for R89278 (qualifier R89278_i)"""
74,"""No cluster in current Unigene and no Genbank entry for T53743 (qualifier T53743)"""
75,"""No cluster in current Unigene and no Genbank entry for T63047 (qualifier T63047)"""
76,"""No cluster in current Unigene and no Genbank entry for T63597 (qualifier T63597)"""
77,"""ESTs"""
78,"""ESTs, Highly  similar to PUTATIVE SERINE/THREONINE-PROTEIN KINASE EMK [Mus musculus]"""
79,"""No cluster in current Unigene and no Genbank entry for T87800 (qualifier T87800)"""
80,"""PKU-alpha, partial cds"""
81,"""ESTs"""
82,"""METALLOPROTEINASE INHIBITOR 3 PRECURSOR"""
83,"""APOH Apolipoprotein H"""
84,"""Soluble vascular endothelial cell growth factor receptor (sflt) mRNA"""
85,"""FBLN1 Fibulin 1"""
86,"""HEAT SHOCK 70 KD PROTEIN 1"""
87,"""NTRK3 Neurotrophic tyrosine kinase, receptor, type 3 (TrkC)"""
88,"""AMP-activated protein kinase (hAMPK) mRNA"""
89,"""Estrogen sulfotransferase mRNA, partial cds"""
90,"""ZNF132 Zinc finger protein 132 (clone pHZ-12)"""
91,"""Granulocyte colony-stimulating factor induced gene [human, CML patient, bone marrow mononuclear cells, mRNA, 833 nt]"""
92,"""VSNL1 Visinin-like 1"""
93,"""No cluster in current Unigene and no Genbank entry for U15688 (qualifier U15688)"""
94,"""Clone CIITA-10 MHC class II transactivator CIITA mRNA"""
95,"""Prepromultimerin mRNA"""
96,"""G protein-activated inwardly rectifying potassium channel HGIRK1/Kir3.1 mRNA"""
97,"""GIPR Gastric inhibitory polypeptide receptor"""
98,"""IFNA1 Interferon, alpha 1"""
99,"""IFNA5 Interferon, alpha 5"""
100,"""CSF1R Colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog"""
101,"""HOXB5 Homeo box B5 (2.1 protein)"""
102,"""COL4A2 Collagen, type IV, alpha 2"""
103,"""KRT15 Keratin 15"""
104,"""BGP Biliary glycoprotein {alternative products}"""
105,"""IDO Indole 2,3-dioxygenase"""
106,"""CNR1 Cannabinoid receptor 1 (brain)"""
107,"""FBL Fibrillarin"""
108,"""IL5RA Interleukin 5 receptor alpha"""
109,"""GUANYLATE CYCLASE SOLUBLE, ALPHA-3 CHAIN"""
110,"""ERCC5 DNA excision repair protein ERCC5"""
111,"""Fast MyBP-C"""
112,"""Nicein B2 chain"""
113,"""HUMM9 mRNA"""
114,"""Membrane-type matrix metalloproteinase"""
115,"""Giant larvae homolog"""
116,"""CHGB Chromogranin B (secretogranin 1)"""
117,"""MLN Motilin"""
118,"""CARCINOEMBRYONIC ANTIGEN PRECURSOR"""
119,"""ECE1 Endothelin converting enzyme 1"""
120,"""Cylicin II"""
121,"""No cluster in current Unigene and no Genbank entry for Z46967 (qualifier Z46967_i)"""
122,"""GUC1A2 Guanylate cyclase 1, soluble, alpha 2"""
