,0
0,"""T-CELL ANTIGEN CD7 PRECURSOR"""
1,"""CRK V-crk avian sarcoma virus CT10 oncogene homolog"""
2,"""KIAA0010 gene"""
3,"""Estrogen responsive finger protein"""
4,"""KIAA0027 gene, partial cds"""
5,"""TEC Tec protein tyrosine kinase"""
6,"""CAMK4 Calcium/calmodulin-dependent protein kinase IV"""
7,"""PRSM1 Metallopeptidase 1 (33 kD)"""
8,"""RNA helicase (HRH1)"""
9,"""KIAA0154 gene, partial cds"""
10,"""PLACENTAL PROTEIN 11 PRECURSOR"""
11,"""ESTs, Moderately similar to cytoplasmic dynein intermediate chain IC-2 [H.sapiens]"""
12,"""ESTs, Highly  similar to SPORULATION-SPECIFIC PROTEIN 1 [Saccharomyces cerevisiae]"""
13,"""G protein-coupled receptor GPR-NGA gene"""
14,"""ESTs, Highly  similar to NUCLEAR FACTOR 1 A1 [Gallus gallus]"""
15,"""SCA1 Ataxin 1"""
16,"""ESTs"""
17,"""ESTs"""
18,"""ESTs, Highly similar to SYNAPTOPORIN [R.norvegicus]"""
19,"""ESTs, Weakly similar to T12D8.i [C.elegans]"""
20,"""ESTs"""
21,"""EST"""
22,"""ESTs"""
23,"""No cluster in current Unigene and no Genbank entry for H18919 (qualifier H18919)"""
24,"""No cluster in current Unigene and no Genbank entry for H22993 (qualifier H22993)"""
25,"""ETV4 Ets variant gene 4 (E1A enhancer-binding protein, E1AF)"""
26,"""ESTs"""
27,"""ESTs, Highly  similar to HYPOTHETICAL 46.6 KD PROTEIN IN DAL80-GAP1 INTERGENIC REGION [Saccharomyces cerevisiae]"""
28,"""No cluster in current Unigene and no Genbank entry for H30746 (qualifier H30746)"""
29,"""ESTs"""
30,"""ESTs, Weakly similar to SEPTIN 2 [D.melanogaster]"""
31,"""LAMA2 Laminin, alpha 2 (merosin, congenital muscular dystrophy)"""
32,"""ESTs"""
33,"""GCH1 GTP cyclohydrolase 1 (dopa-responsive dystonia) {alternative products}"""
34,"""ESTs, Highly  similar to TUBULIN BETA CHAIN [Caenorhabditis elegans]"""
35,"""XK Kell blood group precursor (McLeod phenotype)"""
36,"""No cluster in current Unigene and no Genbank entry for H63094 (qualifier H63094)"""
37,"""No cluster in current Unigene and no Genbank entry for H64576 (qualifier H64576)"""
38,"""ESTs"""
39,"""ESTs, Highly  similar to PROTEIN-TYROSINE PHOSPHATASE MEG1 [Homo sapiens]"""
40,"""ESTs"""
41,"""No cluster in current Unigene and no Genbank entry for H67551 (qualifier H67551)"""
42,"""No cluster in current Unigene and no Genbank entry for H69878 (qualifier H69878)"""
43,"""TNNC1 Troponin C1 (slow skeletal)"""
44,"""ESTs, Highly  similar to CALPAIN 2, LARGE [Sus scrofa]"""
45,"""ESTs, Weakly similar to C05G5.5 [C.elegans]"""
46,"""ITGA4 Integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"""
47,"""EST"""
48,"""No cluster in current Unigene and no Genbank entry for H84228 (qualifier H84228)"""
49,"""No cluster in current Unigene and no Genbank entry for H84249 (qualifier H84249_i)"""
50,"""ESTs, Highly  similar to ZINC FINGER PROTEIN MLZ-4 [Mus musculus]"""
51,"""No cluster in current Unigene and no Genbank entry for H87730 (qualifier H87730)"""
52,"""GATA3 GATA-binding protein 3"""
53,"""RPL7A Neurotrophic tyrosine kinase, receptor, type 1"""
54,"""No cluster in current Unigene and no Genbank entry for H91298 (qualifier H91298)"""
55,"""ESTs"""
56,"""ESTs, Highly  similar to STEROID HORMONE RECEPTOR ERR2 [Homo sapiens]"""
57,"""ESTs"""
58,"""PTH Parathyroid hormone"""
59,"""IF I factor (complement)"""
60,"""MME Membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)"""
61,"""GCG Glucagon"""
62,"""C1S Complement component 1, s subcomponent"""
63,"""PGC Gastricsin (pepsinogen C)"""
64,"""EGFR Epidermal growth factor receptor"""
65,"""PRB2 locus salivary proline-rich protein mRNA, clone cP7"""
66,"""Cytochrome P-450 4 gene"""
67,"""Nucleotide binding protein mRNA"""
68,"""P5-1 mRNA"""
69,"""CD40LG CD40 antigen ligand (hyper IgM syndrome)"""
70,"""DIHYDROPRYRIDINE-SENSITIVE L-TYPE, SKELETAL MUSCLE CALCIUM CHANNEL GAMMA SUBUNIT"""
71,"""PTPRG Protein tyrosine phosphatase, receptor type, gamma polypeptide"""
72,"""Protocadherin 43 mRNA for abbreviated PC43"""
73,"""ILA Interleukin-activated receptor, homolog of mouse Ly63"""
74,"""AF-9 PROTEIN"""
75,"""ZNF141 Zinc finger protein 141 (clone pHZ-44)"""
76,"""Putative M phase phosphoprotein 1 (MPP1) mRNA, partial cds"""
77,"""LOX Lysyl oxidase"""
78,"""STK2 Protein serine/threonine kinase stk2"""
79,"""I-plastin mRNA"""
80,"""(clone Z146) retinal mRNA, 3' end and repeat region"""
81,"""Na+/glucose cotransporter 1 mRNA"""
82,"""CDH11 Cadherin 11 (OB-cadherin)"""
83,"""OPRK1 Opioid receptor, kappa 1"""
84,"""No cluster in current Unigene and no Genbank entry for L38593 (qualifier L38593)"""
85,"""IL9R Interleukin 9 receptor"""
86,"""K+ channel beta 1a subunit mRNA, alternatively spliced"""
87,"""Thyroid receptor interactor (TRIP7) mRNA, 3' end of cds"""
88,"""PDK1 Pyruvate dehydrogenase kinase, isoenzyme 1"""
89,"""TFRC Transferrin receptor (p90, CD71)"""
90,"""CP Ceruloplasmin (ferroxidase)"""
91,"""No cluster in current Unigene and no Genbank entry for M17183 (qualifier M17183)"""
