,0
0,BioB
1,BioC
2,BioD
3,D00003_i
4,D00003_r_i
5,D00015
6,D00137
7,D00173
8,D00306
9,D00408
10,D00596
11,D00726
12,D00749
13,D10202
14,D10216
15,D10522_i
16,D10522_r
17,D10537
18,D10570
19,D10656
20,D10704
21,D10872
22,D10923
23,D10925
24,D11086
25,D11094_i
26,D11139
27,D11327_r
28,D11428_i
29,D11428_r
30,D12620
31,D12625
32,D12676
33,D12676
34,D12686_r
35,D12765_i
36,D12765_r
37,D13138
38,D13168
39,D13243
40,D13292_i
41,D13292_r
42,D13305
43,D13315_i
44,D13315_r
45,D13626
46,D13627_f
47,D13628
48,D13630
49,D13634
50,D13635_i
51,D13635_r
52,D13636
53,D13637
54,D13639
55,D13640
56,D13641_f
57,D13641_i
58,D13641_r_i
59,D13642_f
60,D13642_i
61,D13642_r_i
62,D13643
63,D13644
64,D13645
65,D13665
66,D13789
67,D13891
68,D13902
69,D13969
70,D14134
71,D14520
72,D14539
73,D14658
74,D14661
75,D14662
76,D14664
77,D14665
78,D14689
79,D14694
80,D14695
81,D14717
82,D14812
83,D14822
84,D14822
85,D14823
86,D14838
87,D14874
88,D15049
89,D15056
90,D16111
91,D16294
92,D16350
93,D16362
94,D16362
95,D16431
96,D16469
97,D16481
98,D16593
99,D16626
100,D17390
101,D17391
102,D17400
103,D17525
104,D17530
105,D17532
106,D17547
107,D17570_i
108,D17570_i
109,D17570_r
110,D21064
111,D21090_i
112,D21090_r
113,D21094
114,D21163
115,D21205
116,D21209_i
117,D21209_r
118,D21235
119,D21260
120,D21261
121,D21262
122,D21337
123,D21851
124,D21852
125,D21853_f
126,D23672
127,D25215_f
128,D25216
129,D25216
130,D25218_f
131,D25218_i
132,D25235
133,D25278
134,D25303
135,D25304
136,D25538
137,D25539
138,D26018
139,D26067
140,D26068_f
141,D26070
142,D26121
143,D26121
144,D26125_f
145,D26129_f
146,D26135
147,D26309
148,D26350
149,D26350
150,D26528
151,D26535
152,D28124
153,D28475
154,D28513
155,D28532
156,D28538
157,D28588
158,D29642_f
159,D29642_i
160,D29642_i
161,D29642_r_i
162,D29677
163,D29767
164,D29805
165,D29808
166,D29810
167,D29832_f
168,D29832_i
169,D29954
170,D29956_f
171,D29956_i
172,D29956_r_i
173,D29958_f
174,D29992
175,D30036
176,D30742
177,D30756
178,D30756
179,D30758_f
180,D31716
181,D31763
182,D31766
183,D31767
184,D31784
185,D31846
186,D31883_f
187,D31884
188,D31884
189,D31887_i
190,D31887_r_i
191,D31889_i
192,D32046
193,D32051
194,D32201
195,D32202
196,D37931
197,D37932
198,D37932
199,D37933
200,D37965
201,D37984
202,D38044
203,D38163
204,D38171
205,D38171
206,D38251
207,D38293
208,D38449
209,D38491
210,D38496
211,D38521
212,D38522
213,D38524
214,D38537_f
215,D38537_i
216,D38537_i
217,D38548_f
218,D38549
219,D38550
220,D38551
221,D38554
222,D38555
223,D42038
224,D42039
225,D42041
226,D42043
227,D42045_i
228,D42046
229,D42047
230,D42053
231,D42054
232,D42055
233,D42063
234,D42072
235,D42084
236,D42087
237,D42108
238,D43638_i
239,D43638_r_i
240,D43768
241,D43772
242,D43947
243,D43948
244,D43950
245,D43951
246,D43969
247,D45370_f
248,D45370_r_i
249,D45887
250,D49357
251,D49394
252,D49396
253,D49487
254,D49487
255,D49488
256,D49490_f
257,D49493
258,D49493
259,D49547
260,D50487
261,D63807
262,D63813
263,D63874
264,D63876
265,D63877
266,D63878
267,D63879
268,D63880
269,D63881
270,D63882
271,D64053
272,D90064
273,D90144
274,D90145
275,D90145
276,D90150
277,D90187
278,D90188
279,D90224
280,D90226
281,D90226
282,D90239_f
283,D90239_i
284,D90276
285,D90278
286,D90312
287,D90313
288,D90391
289,H00278_i
290,H00278_r
291,H00297
292,H00327
293,H00423
294,H00645
295,H01142
296,H01163
297,H01165
298,H01340
299,H01408
300,H01418
301,H01420
302,H01482_f
303,H01482_i
304,H01482_r_i
305,H01652
306,H01943_f
307,H02009_f
308,H02031
309,H02258
310,H02337
311,H02465
312,H02540
313,H02560
314,H02611
315,H02613
316,H02630
317,H02836
318,H02836
319,H02848_f
320,H02861_f
321,H02861_i
322,H02861_i
323,H02869
324,H02882
325,H02889
326,H03061
327,H03346_f
328,H03346_f
329,H03375
330,H03442_i
331,H03442_r_i
332,H03471
333,H03471
334,H03504
335,H03864
336,H03945
337,H03946
338,H03968
339,H03968
340,H04239
341,H04282
342,H04342
343,H04461_i
344,H04461_r
345,H04641
346,H04765
347,H04990
348,H05091
349,H05138
350,H05222_f
351,H05264
352,H05285
353,H05300
354,H05303
355,H05323
356,H05398
357,H05605
358,H05695
359,H05800
360,H05893
361,H05899
362,H05910
363,H05935
364,H05978
365,H05986
366,H06045
367,H06045
368,H06061
369,H06195
370,H06199
371,H06201
372,H06245
373,H06489
374,H06512
375,H06524
376,H06695
377,H06706
378,H06709
379,H06715
380,H06865
381,H06970
382,H07114
383,H07121
384,H07136
385,H07142
386,H07860_r
387,H07871
388,H07878
389,H07899
390,H08056
391,H08144
392,H08188
393,H08188
394,H08191
395,H08203
396,H08559
397,H08559
398,H08613
399,H08637
400,H08639
401,H08678
402,H08749
403,H08751
404,H08776
405,H09083
406,H09089
407,H09149
408,H09263
409,H09273
410,H09305_i
411,H09305_r
412,H09319
413,H09334
414,H09351
415,H09356
416,H09517
417,H09542_i
418,H09572
419,H09599_i
420,H09625
421,H09642
422,H09719
423,H09721
424,H09723
425,H09959
426,H09986
427,H10045
428,H10083_f
429,H10083_r_i
430,H10156
431,H10308
432,H10667
433,H10671
434,H10841
435,H10852
436,H10925_f
437,H11036
438,H11054
439,H11064
440,H11084
441,H11095
442,H11125_f
443,H11257
444,H11316
445,H11347
446,H11377
447,H11380
448,H11460
449,H11609
450,H11633
451,H11658
452,H11719
453,H11751
454,H11773_f
455,H11940
456,H11947
457,H11954
458,H11975
459,H12072
460,H12338
461,H12470
462,H12470
463,H12771
464,H12771
465,H12855
466,H13120
467,H13133
468,H13238
469,H13272_f
470,H13272_i
471,H13272_r_i
472,H13281_f
473,H13281_i
474,H13281_r_i
475,H13292
476,H13822
477,H14341
478,H14343
479,H14343
480,H14506
481,H14506
482,H14574
483,H15020
484,H15069_f
485,H15069_i
486,H15069_r_i
487,H15118
488,H15118
489,H15124
490,H15162
491,H15162
492,H15288
493,H15417
494,H15447
495,H15525_i
496,H15528
497,H15531_i
498,H15531_r_i
499,H15533_f
500,H15533_r_i
501,H15552
502,H15552
503,H15562
504,H15571_i
505,H15662
506,H15815
507,H15815
508,H15934
509,H16096
510,H16396
511,H16402
512,H16583_f
513,H16583_f
514,H16583_i
515,H16597
516,H16709
517,H16714
518,H16758
519,H16769
520,H16774
521,H16774
522,H16799
523,H16809
524,H16991
525,H17040
526,H17108
527,H17124
528,H17127
529,H17409
530,H17434
531,H17491
532,H17636
533,H17827
534,H17883_f
535,H17969
536,H17969
537,H17978
538,H17978
539,H17979
540,H18209
541,H18236
542,H18248
543,H18451_f
544,H18451_i
545,H18464
546,H18855
547,H18855
548,H18946
549,H19123
550,H19201
551,H19208
552,H19232
553,H19272
554,H19309
555,H19413_r_i
556,H19467_f
557,H19615
558,H19794_f
559,H19794_i
560,H19874
561,H20045
562,H20162
563,H20162
564,H20165
565,H20289
566,H20426
567,H20434
568,H20503
569,H20512
570,H20529
571,H20571
572,H20709
573,H20822
574,H20845
575,H20856
576,H20926
577,H20974
578,H21532_i
579,H21532_r
580,H21913
581,H21927
582,H21927
583,H21944
584,H21958
585,H22456
586,H22456
587,H22550
588,H22573
589,H22573
590,H22579_i
591,H22579_i
592,H22821
593,H22842
594,H22939
595,H22948_i
596,H22948_r
597,H22993
598,H23012
599,H23135
600,H23229
601,H23229
602,H23235_f
603,H23235_i
604,H23235_r_i
605,H23544
606,H23568
607,H23740
608,H23975_i
609,H24030
610,H24033
611,H24076
612,H24245
613,H24250
614,H24263
615,H24310_f
616,H24310_i
617,H24310_r_i
618,H24346_f
619,H24401
620,H24579
621,H24748_f
622,H24748_i
623,H24748_i
624,H24754
625,H24766
626,H24769
627,H24956
628,H25130
629,H25136
630,H25391
631,H25940
632,H26016
633,H26016
634,H26101
635,H26161
636,H26161
637,H26166
638,H26183
639,H26360
640,H26419
641,H26426_r
642,H26655
643,H26658
644,H26673
645,H26676
646,H26695
647,H26759
648,H26960_i
649,H26965
650,H27004
651,H27202_f
652,H28070
653,H28140
654,H28146
655,H28176
656,H28284
657,H28438
658,H28452
659,H28469
660,H28547
661,H28614_i
662,H28614_i
663,H28614_r
664,H28614_r
665,H28711
666,H28780
667,H28929
668,H29015
669,H29054
670,H29170
671,H29256
672,H29265
673,H29295
674,H29308
