Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	transmembrane protein	78	24.0	7.046960756323861E-44	L23823, M13299, M97639, L12964, X56841, M20429, L06139, M34187, X05825, M83554, X60708, M81778, X61176, U02687, M62400, X51798, L05500, X04571, M84124, M63889, X04434, K01144, Z49205, H24956, M32215, D90312, M84426, M74782, U12569, U24660, Z18956, U08137, M21868, M64752, J02958, U10301, X04297, X72304, X04391, Y00406, U20350, L25615, L41415, M64099, J02988, Y00796, Z29083, M63108, K03191, M13560, M85289, X83857, M17398, U17033, L04947, M34064, X04450, X06389, D90278, M97759, M35718, X83858, D10925, M74290, U28694, D28475, U28249, M20311, M27819, X16354, L37362, U11814, U17473, Y00762, M83712, D25235, M54992, M28826, D13789, X77777, L06133, L12468, M13150, D00173	324	642	19235	7.212847582785277	3.5164334174056064E-41	3.5164334174056064E-41	1.0145059640673611E-40
GOTERM_CC_FAT	GO:0044459~plasma membrane part	111	34.15384615384615	3.7681687944254894E-21	M13299, M55542, M55543, L12964, X56841, L06139, U14528, M63889, X04434, D13637, X73874, M60174, L10386, L34155, U12569, Z29093, X78711, Z18956, U01134, U08137, X71490, J02958, M64752, X56654, X04391, U20350, Y00406, Z24680, M31724, L02320, M12996, M63108, Z33905, X63105, M96936, L13616, M34064, X04450, X06389, M97759, X81438, U28249, M20311, X67513, L02785, M27819, U17473, M83712, Y00762, D25235, U39196, M54992, Z22533, L06133, L12468, M13150, M10988, L23823, U09002, M86407, M97639, X60702, M20429, M34187, L20852, X14787, X60708, M81778, X61176, U02687, M62400, M84124, U18549, K01144, Z49205, M32215, D90312, M84426, M81882, U24660, M21868, U04811, L20469, U10301, X04297, J03507, X72304, L25615, J02988, Z29083, Y00796, M13560, X83857, U17033, D10923, L04947, M35543, U17566, D37933, M15881, D10925, X83858, U31382, M74290, U28694, L43964, U05315, L37362, X16354, M37884, M28826, M73780, M94173, X77777, M19714, L11695	266	2203	12782	2.421172085911556	1.2284230269827096E-18	1.2284230269827096E-18	5.0991932874859426E-18
SP_PIR_KEYWORDS	glycoprotein	147	45.230769230769226	4.115759079765034E-20	D13626, M13299, L12964, X56841, L06139, L00073, X05825, M83554, X14445, U05569, M33875, U14528, X51798, L05500, X04571, M63889, X04434, H24956, D13637, M74782, M92642, L34155, M20786, Z29093, U12569, Z18956, U01134, U08137, X06374, X63597, M63623, M64752, J02958, X56654, X71877, M81181, X04391, Y00406, L38969, Z24680, L41415, M60047, U05291, U14550, M63108, M96936, X04450, M34064, U03749, X06389, X14390, X55330, M97759, M75106, D38163, M20311, X67513, M27819, X82494, U17473, M83712, Y00762, D25235, M54992, D29992, Z22533, L06133, L12468, M13150, M86826, M17779, L26081, M10988, L23823, U09002, X78947, J04177, M97639, X60702, D63813, M20429, M34187, L20852, X14787, M81778, X60708, X61176, U02687, X54162, M62400, X13967, M84124, U18549, Z49205, K01144, M32215, D11139, D90312, U27185, M84426, M81349, X63454, X02157, M21868, Y00064, U10301, L20469, J03507, L13329, X72304, Y00067, J04156, L25615, Z12173, U19557, J02988, M64099, Z29083, Y00796, X53741, X77383, M13560, M85289, X83857, U17033, L04947, X80915, D90278, U17566, M63239, M15881, M35718, D10925, X83858, M74290, U28694, D28475, X16354, L37362, Z50115, U11814, M24439, M28826, M94173, M73780, D13789, M11220, M54886, X77777, M12849, X17405, L11695, M80927	324	4318	19235	2.021072427221107	2.053763780802752E-17	1.026881890401376E-17	5.925195665860646E-17
GOTERM_CC_FAT	GO:0031226~intrinsic to plasma membrane	75	23.076923076923077	3.219855250739462E-18	U09002, L23823, M13299, M97639, X60702, L12964, L06139, L20852, M34187, X61176, U02687, U14528, M62400, M84124, M63889, U18549, X04434, Z49205, D13637, M32215, D90312, M84426, Z29093, U12569, U24660, Z18956, U01134, U08137, M21868, M64752, J02958, U04811, L20469, X04297, J03507, X72304, X04391, Y00406, U20350, L25615, Z24680, J02988, Y00796, Z29083, M63108, X83857, U17033, D10923, L04947, X04450, U17566, M97759, D37933, X83858, D10925, M74290, U28694, L43964, U05315, U28249, M20311, X67513, M27819, X16354, L37362, U17473, M37884, Y00762, M83712, D25235, M54992, U39196, M73780, Z22533, X77777, L12468, M13150, L11695, M10988	266	1215	12782	2.966211825860949	1.0496728117410646E-15	5.248364058705323E-16	4.357199790395878E-15
GOTERM_CC_FAT	GO:0005887~integral to plasma membrane	74	22.76923076923077	3.576069906740082E-18	U09002, L23823, M13299, M97639, X60702, L12964, L06139, L20852, M34187, X61176, U02687, U14528, M62400, M84124, M63889, U18549, X04434, Z49205, D13637, M32215, D90312, M84426, Z29093, U12569, U24660, Z18956, U01134, U08137, M21868, M64752, J02958, U04811, L20469, X04297, J03507, X72304, X04391, Y00406, U20350, L25615, Z24680, J02988, Y00796, Z29083, M63108, X83857, U17033, D10923, L04947, X04450, U17566, M97759, D37933, X83858, D10925, M74290, U28694, L43964, U05315, U28249, M20311, X67513, M27819, X16354, L37362, U17473, Y00762, M83712, D25235, M54992, U39196, M73780, Z22533, X77777, L12468, M13150, L11695, M10988	266	1188	12782	2.99317738791423	1.1657987895972665E-15	3.8859959653242223E-16	4.839239603864322E-15
SP_PIR_KEYWORDS	signal	119	36.61538461538461	6.639344988194315E-18	L12964, X56841, L06139, X15215, L00073, X05825, M83554, X14445, M33875, U37529, X51798, X04571, M63889, X04434, D13637, H24956, M74782, M92642, M20786, L34155, Z29093, U01134, X06374, M63623, M64752, J02958, X56654, X71877, X04391, J00301, L38969, Y00406, Z24680, M60047, U05291, M63108, M34064, X04450, U03749, X14390, X55330, M98331, Z11887, M75106, D38163, U28249, M20311, X67513, X82494, M18372, U17473, M83712, Y00762, D29992, Z22533, M86826, M17779, L26081, L23823, U09002, X78947, J04177, M97639, X60702, U19878, D63813, M20429, M34187, X14787, X61176, U02687, X75500, X57928, M62400, X13967, M84124, M32215, D11139, D90312, D43768, M27318, M81349, M31679, X63454, Y00064, M21868, X02157, U10301, L13329, J03507, X72304, J04156, Z12173, M86933, J02988, Y00796, Z29083, X53741, X77383, M85289, U17033, L04947, X80915, D90278, M63239, M15881, M35718, J00123, Y00705, X16354, U11814, X54667, M24439, M28826, M73780, M27602, M11220, M54886, X77777, M12849, M80927, L11695	324	3250	19235	2.173755935422602	3.3130331491089634E-15	1.1043443830363212E-15	9.558241234676065E-15
UP_SEQ_FEATURE	signal peptide	119	36.61538461538461	1.085810538272847E-17	L12964, X56841, L06139, X15215, L00073, X05825, M83554, X14445, M33875, U37529, X51798, X04571, M63889, X04434, D13637, H24956, M74782, M92642, M20786, L34155, Z29093, U01134, X06374, M63623, M64752, J02958, X56654, X71877, X04391, J00301, L38969, Y00406, Z24680, M60047, U05291, M63108, M34064, X04450, U03749, X14390, X55330, M98331, Z11887, M75106, D38163, U28249, M20311, X67513, X82494, M18372, U17473, M83712, Y00762, D29992, Z22533, M86826, M17779, L26081, L23823, U09002, X78947, J04177, M97639, X60702, U19878, D63813, M20429, M34187, X14787, X61176, U02687, X75500, X57928, M62400, X13967, M84124, M32215, D11139, D90312, D43768, M27318, M81349, M31679, X63454, Y00064, M21868, X02157, U10301, L13329, J03507, X72304, J04156, Z12173, M86933, J02988, Y00796, Z29083, X53741, X77383, M85289, U17033, L04947, X80915, D90278, M63239, M15881, M35718, J00123, Y00705, X16354, U11814, X54667, M24439, M28826, M73780, M27602, M11220, M54886, X77777, M12849, M80927, L11695	324	3250	19113	2.159968660968661	1.4636726055917977E-14	1.4636726055917977E-14	1.7807931256751003E-14
GOTERM_CC_FAT	GO:0005886~plasma membrane	144	44.30769230769231	3.087749010952094E-17	D13626, M13299, M55542, M55543, L12964, X56841, L06139, D90150, X05825, M83554, U37529, M55153, U14528, X51798, L05500, X04571, M63889, Z12020, X04434, D13637, Z11502, M60174, X73874, L10386, L34155, Z29093, U12569, X78711, Z18956, U01134, U08137, X63597, M63623, M64752, X71490, J02958, X56654, M81181, X04391, Y00406, U20350, Z24680, U18920, M31724, M60047, L02320, M12996, M63108, X63105, Z33905, M96936, L13616, X04450, M64110, M34064, X06389, X14390, U17077, M97759, X81438, X73427, U28249, M20311, X67513, M27819, L02785, U17473, M83712, Y00762, D25235, U39196, M54992, Z22533, L06133, L12468, M13150, M17779, M10988, L23823, U09002, X78947, M86407, M97639, X60702, U19878, M20429, M34187, L20852, X14787, M81778, X60708, X61176, U02687, M62400, M84124, U18549, Z49205, K01144, M32215, D90312, M81882, M84426, U24660, X63454, M21868, U04811, M10938, X04297, L20469, U10301, J03507, X72304, L25615, J02988, M64099, Z29083, Y00796, X04366, M13560, X83857, U17033, D10923, L04947, M35543, M77481, M34667, U17566, D37933, M15881, M35718, D10925, X83858, U31382, M74290, U28694, L43964, U05315, X16354, L37362, U11814, M37884, M24439, M28826, M94173, M73780, M74525, X77777, M19714, L11695, X52479	266	3777	12782	1.8320304335103048	1.0066061775703826E-14	2.5165154439259566E-15	4.1784298658226185E-14
SP_PIR_KEYWORDS	disulfide bond	108	33.23076923076923	3.995559009818484E-16	D13626, M13299, L12964, X56841, L06139, L00073, X05825, M83554, U05569, X04571, M63889, X04434, D13637, M20786, L34155, U12569, Z29093, U01134, U08137, X06374, X63597, J02958, X71877, M81181, X04391, L38969, U20350, Y00406, L41415, M60047, U05291, U14550, M63108, X04450, U03749, X14390, X55330, M98331, M97759, M75106, D38163, M20311, X67513, X82494, M83712, Y00762, D25235, M54992, D29992, L12468, M17779, L26081, M10988, L23823, X78947, M97639, U19878, D63813, M20429, M34187, X14787, X60708, M81778, X75500, X57928, M62400, X13967, K01144, Z49205, M32215, D11139, D90312, D43768, M84426, M27318, X63454, Y00064, X02157, L20469, J03507, X72304, J04156, L25615, J02988, Y00796, X53741, X77383, M13560, M85289, U17033, D10923, X80915, M15881, M35718, D10925, J00123, M74290, U28694, Y00705, X16354, L37362, U11814, X54667, M28826, M27602, M73780, M94173, M11220, M54886, X77777, X17405, M80927, L11695	324	2924	19235	2.1927724578203374	2.2160051571518125E-13	5.540012892879531E-14	6.439293542825908E-13
SP_PIR_KEYWORDS	tyrosine-specific protein kinase	16	4.923076923076923	1.1032887281446185E-15	J03358, M97639, H24956, X60702, Z29093, L06139, U11814, M34187, X83107, D29767, U01134, L04947, U02687, J02958, X77278, M63889, M35718, X04434	324	48	19235	19.789094650205758	5.540012892879531E-13	1.1080025785759062E-13	1.5987211554602254E-12
