,0
0,"""FECH Ferrochelatase (protoporphyria)"""
1,"""26S PROTEASE REGULATORY SUBUNIT 7"""
2,"""KIAA0009 gene"""
3,"""KIAA0010 gene"""
4,"""SA mRNA for SA gene product"""
5,"""BST-1"""
6,"""KIAA0059 gene"""
7,"""KIAA0072 gene, partial cds"""
8,"""NEDD-4 PROTEIN"""
9,"""Garp gene mRNA"""
10,"""ESTs, Highly  similar to GUANINE NUCLEOTIDE-BINDING PROTEIN G(I)/G(S)/G(O) GAMMA-7 SUBUNIT [Rattus norvegicus]"""
11,"""ESTs, Highly  similar to ZINC FINGER Y-CHROMOSOMAL PROTEIN 1 [Xenopus laevis]"""
12,"""ESTs, Highly  similar to GLUTAMATE RECEPTOR 6 PRECURSOR [Rattus norvegicus]"""
13,"""ESTs, Highly  similar to BETA-CHIMAERIN [Rattus norvegicus]"""
14,"""Mac-2 binding protein mRNA"""
15,"""EST"""
16,"""ESTs, Weakly similar to BETA-2-GLYCOPROTEIN I PRECURSOR [R.norvegicus]"""
17,"""ESTs, Highly  similar to SEX-DETERMINING REGION Y PROTEIN [Capra hircus]"""
18,"""SLC9A1 Solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive)"""
19,"""No cluster in current Unigene and no Genbank entry for H39076 (qualifier H39076)"""
20,"""ESTs"""
21,"""No cluster in current Unigene and no Genbank entry for H48100 (qualifier H48100)"""
22,"""No cluster in current Unigene and no Genbank entry for H48122 (qualifier H48122)"""
23,"""No cluster in current Unigene and no Genbank entry for H48485 (qualifier H48485_f)"""
24,"""ESTs"""
25,"""PACE4 Paired basic amino acid cleaving system 4"""
26,"""EST"""
27,"""ESTs"""
28,"""ESTs, Highly  similar to MKR2 PROTEIN [Mus musculus]"""
29,"""No cluster in current Unigene and no Genbank entry for H82409 (qualifier H82409)"""
30,"""ESTs, Highly  similar to CELL SURFACE GLYCOPROTEIN A15 [Homo sapiens]"""
31,"""IFNA14 Interferon, alpha 14"""
32,"""CD28 CD28 antigen (T cell-specific homodimer)"""
33,"""MDU1 Antigen identified by monoclonal antibodies 4F2, TRA1.10, TROP4, and T43"""
34,"""DUAL SPECIFICITY PROTEIN PHOSPHATASE PAC-1"""
35,"""ZNF141 Zinc finger protein 141 (clone pHZ-44)"""
36,"""ADORA3 Adenosine receptor A3"""
37,"""(huc) mRNA"""
38,"""POU3F1 POU domain, class 3, transcription factor 1"""
39,"""MANA2 Alpha mannosidase II isozyme"""
40,"""Calcium channel L-type alpha 1 subunit (CACNL1A1) mRNA"""
41,"""JNK ACTIVATING KINASE 1"""
42,"""Alpha-2,8-polysialyltransferase (PST) gene"""
43,"""No cluster in current Unigene and no Genbank entry for M13880 (qualifier M13880)"""
44,"""CD2 CD2 antigen (p50), sheep red blood cell receptor"""
45,"""DBT Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex; maple syrup urine disease)"""
46,"""TNNT1 Troponin T1, skeletal, slow"""
47,"""ANX3 Annexin III (lipocortin III)"""
48,"""HLA-DQB1 Major histocompatibility complex, class II, DQ beta 1"""
49,"""60-kdal ribonucleoprotein (Ro) mRNA"""
50,"""NID Nidogen (enactin)"""
51,"""ITGB1 Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"""
52,"""FGFR2 Fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)"""
53,"""CFTR Cystic fibrosis conductance regulator"""
54,"""HXB Hexabrachion (tenascin C, cytotactin)"""
55,"""SCYA1 Small inducible cytokine A1 (I-309, homologous to mouse Tca-3)"""
56,"""CEREBELLIN 1 PRECURSOR"""
57,"""DTR Diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)"""
58,"""DDIT1 DNA-damage-inducible transcript 1"""
59,"""AOAH Acyloxyacyl hydrolase (neutrophil)"""
60,"""CPA3 Carboxypeptidase A3 (mast cell)"""
61,"""DDC Dopa decarboxylase (aromatic L-amino acid decarboxylase)"""
62,"""CHRNA5 Cholinergic receptor, nicotinic, alpha polypeptide 5"""
63,"""SFN Stratifin"""
64,"""MUC2 Mucin 2, intestinal/tracheal"""
65,"""SP3 Sp3 transcription factor"""
66,"""TSPY Testis specific protein, Y-linked"""
67,"""FIBRINOGEN GAMMA-A CHAIN PRECURSOR"""
68,"""EST"""
69,"""BCKDHB Branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)"""
70,"""RPLP2 Hemoglobin, beta"""
71,"""ESTs, Moderately  similar to ZINC FINGER PROTEIN 91 [Homo sapiens]"""
72,"""IMMUNODEFICIENCY VIRUS TYPE I ENHANCER-BINDING PROTEIN 2"""
73,"""(clone S194) mRNA, 3' end of cds"""
74,"""ESTs"""
75,"""ESTs, Moderately  similar to SERUM PARAOXONASE/ARYLESTERASE [Homo sapiens]"""
76,"""ESTs, Moderately similar to zinc finger protein [R.norvegicus]"""
77,"""GRL Glucocorticoid receptor"""
78,"""ESTs, Highly  similar to SYNAPTOTAGMIN IV [Mus musculus]"""
79,"""PPBP Connective tissue activation peptide III"""
80,"""ESTs, Highly  similar to NEUROMODULIN [Homo sapiens]"""
81,"""No cluster in current Unigene and no Genbank entry for R69552 (qualifier R69552)"""
82,"""XMP mRNA"""
83,"""ESTs, Weakly similar to neurogenic secreted signaling protein [D.melanogaster]"""
84,"""BTF3 Basic transcription factor 3"""
85,"""A2M Alpha-2-macroglobulin"""
86,"""ESTs"""
87,"""No cluster in current Unigene and no Genbank entry for R91064 (qualifier R91064)"""
88,"""ESTs, Highly similar to von Willebrand factor prepropeptide [H.sapiens]"""
89,"""No cluster in current Unigene and no Genbank entry for T47645 (qualifier T47645)"""
90,"""SKI V-ski avian sarcoma viral oncogene homolog"""
91,"""ESTs"""
92,"""GC Group-specific component (vitamin D binding protein)"""
93,"""G PROTEIN-COUPLED RECEPTOR KINASE GRK5"""
94,"""HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR-W53 BETA CHAIN PRECURSOR"""
